,PM10,PM25,CO,SO2,NO2,O3,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd
2022-01-12 03:00:00,24.0,14.0,0.4,0.003,0.016,0.02,0.1641604006290435,0.1328991800546646,0.1186071038246154,1.7562743425369265,2.444999933242798,267.058,36.167,724.047,101148.585,3.068,297.342
2022-01-12 04:00:00,28.0,18.0,0.4,0.004,0.019,0.02,0.0585111714899539,0.0473644249141216,0.0422703959047794,1.929795742034912,2.1689999103546143,268.271,34.233,788.771,101024.266,3.107,294.107
2022-01-12 05:00:00,32.0,23.0,0.4,0.003,0.018,0.024,0.1194025054574012,0.0966723933815956,0.0862763747572898,1.838387131690979,2.125,269.2,33.192,851.33,100951.999,3.414,289.401
2022-01-12 06:00:00,29.0,19.0,0.4,0.004,0.017,0.024,0.1237053424119949,0.0858977437019348,0.0582815296947956,1.994367837905884,2.289999961853028,269.746,33.057,909.533,100936.093,3.51,288.605
2022-01-13 01:00:00,39.0,22.0,0.5,0.004,0.012,0.021,0.2929980456829071,0.2057942599058151,0.1411022841930389,0.6892844438552856,2.907999992370605,266.573,41.638,1214.036,100978.014,4.7,306.66
2022-01-13 02:00:00,41.0,18.0,0.5,0.004,0.011,0.023,0.2724127173423767,0.2205576449632644,0.1968390047550201,1.4649224281311035,2.7950000762939453,267.472,36.577,1265.213,100998.921,5.395,306.301
2022-01-13 03:00:00,45.0,15.0,0.4,0.004,0.01,0.024,0.2231985628604889,0.1806957572698593,0.1612636446952819,1.7048794031143188,2.46399998664856,268.166,34.591,1338.973,100961.698,5.72,304.098
2022-01-13 04:00:00,40.0,12.0,0.3,0.003,0.009,0.025,0.1106329411268234,0.0895653814077377,0.0799334868788719,1.9167680740356443,2.121999979019165,268.902,30.64,1540.325,100895.216,6.325,303.914
2022-01-13 05:00:00,41.0,9.0,0.3,0.003,0.009,0.025,0.2279084026813507,0.1846900582313537,0.1648232638835907,1.1498510837554932,2.2170000076293945,269.103,30.297,1609.729,100851.315,6.24,302.852
2022-01-13 06:00:00,36.0,7.0,0.3,0.003,0.01,0.025,0.196138858795166,0.1588400453329086,0.141757994890213,1.5234884023666382,2.088000059127808,268.964,30.861,1603.307,100885.305,6.028,302.522
2022-01-14 01:00:00,27.0,18.0,0.5,0.005,0.024,0.015,0.1000454127788543,0.0810495391488075,0.072332888841629,1.2794862985610962,2.757999897003174,266.008,35.853,474.825,101574.117,2.543,316.386
2022-01-14 02:00:00,28.0,15.0,0.5,0.004,0.029,0.013,0.1296357661485672,0.1049490347504615,0.0936627015471458,1.5744435787200928,2.963000059127808,267.798,30.679,530.913,101550.322,2.325,324.895
2022-01-14 03:00:00,32.0,16.0,0.7,0.004,0.038,0.008,0.1171949580311775,0.0948707908391952,0.0846676677465438,1.9301235675811768,2.9560000896453857,269.566,27.499,595.2,101470.586,2.049,315.771
2022-01-14 04:00:00,37.0,21.0,0.6,0.004,0.035,0.009,0.0546680800616741,0.044253472238779,0.0394940190017223,1.943646788597107,2.5350000858306885,271.054,25.688,660.678,101372.062,2.286,297.428
2022-01-14 05:00:00,36.0,22.0,0.6,0.004,0.034,0.01,0.1093996614217758,0.088563822209835,0.079039342701435,1.804970383644104,2.552999973297119,272.109,24.852,714.635,101338.757,2.683,288.584
2022-01-14 06:00:00,32.0,18.0,0.4,0.004,0.032,0.013,0.1044201925396919,0.0845274925231933,0.0754365846514701,1.9986720085144043,2.553999900817871,272.595,25.145,722.928,101324.157,2.732,288.7
2022-01-16 01:00:00,46.0,30.0,0.5,0.004,0.013,0.024,0.2443941235542297,0.1703390181064605,0.1159819439053535,0.8208731412887573,3.6659998893737793,268.899,53.249,471.2,101407.694,3.867,298.699
2022-01-16 02:00:00,40.0,26.0,0.4,0.004,0.012,0.026,0.2759572565555572,0.2234119474887848,0.1993864923715591,1.4955931901931765,3.803999900817871,269.997,44.123,588.178,101449.406,4.057,294.215
2022-01-16 03:00:00,37.0,23.0,0.4,0.004,0.011,0.03,0.3715898096561432,0.2609667181968689,0.1789140552282333,0.2613729834556579,3.7720000743865967,270.929,37.346,751.396,101459.193,4.342,291.667
2022-01-16 04:00:00,31.0,18.0,0.3,0.003,0.011,0.032,0.0941039696335792,0.076176568865776,0.0679838061332702,1.8219023942947388,3.470999956130981,271.529,34.274,888.045,101406.782,4.664,289.604
2022-01-16 05:00:00,32.0,20.0,0.3,0.003,0.012,0.031,0.1922186911106109,0.1556204259395599,0.1388852447271347,1.6910747289657593,3.5160000324249268,271.797,33.107,983.259,101381.375,4.816,289.53
2022-01-16 06:00:00,31.0,14.0,0.3,0.004,0.014,0.029,0.2111678123474121,0.1468716412782669,0.0998077541589737,1.771124005317688,3.4739999771118164,271.712,33.05,1031.621,101378.305,4.817,290.388
2022-01-17 01:00:00,26.0,20.0,0.5,0.004,0.036,0.009,0.0960117727518081,0.0665706396102905,0.0451040938496589,1.5596065521240234,3.8949999809265137,267.865,38.398,424.564,101710.632,1.831,315.088
2022-01-17 02:00:00,27.0,16.0,0.5,0.004,0.031,0.013,0.2871759533882141,0.2021188735961914,0.1388321667909622,0.6959875822067261,3.828000068664551,269.643,35.433,665.739,101666.31,1.993,306.347
2022-01-18 01:00:00,35.0,25.0,0.5,0.004,0.019,0.022,0.2186792492866516,0.1513703167438507,0.1023925766348838,0.7472641468048096,3.510999917984009,265.687,38.079,412.594,101856.737,2.507,323.939
2022-01-18 02:00:00,32.0,23.0,0.5,0.004,0.024,0.018,0.2481160163879394,0.171725794672966,0.1161481291055679,1.0984971523284912,3.677999973297119,267.435,31.398,522.691,101858.836,2.498,320.459
2022-01-18 03:00:00,33.0,21.0,0.4,0.004,0.02,0.022,0.1865268945693969,0.1509964764118194,0.134757250547409,1.8504865169525144,2.3289999961853027,269.002,27.251,652.698,101817.078,2.46,313.32
2022-01-18 04:00:00,30.0,20.0,0.4,0.004,0.017,0.025,0.0995232239365577,0.0805634334683418,0.0718988552689552,1.9402117729187007,2.308000087738037,270.168,24.891,747.201,101677.189,2.452,307.076
2022-01-18 05:00:00,36.0,22.0,0.5,0.004,0.024,0.02,0.1888717412948608,0.1529057770967483,0.1364622414112091,1.5488252639770508,2.4119999408721924,271.012,23.903,783.466,101602.581,2.537,302.281
2022-01-18 06:00:00,33.0,21.0,0.4,0.004,0.019,0.024,0.2203604876995086,0.1783918589353561,0.1592070162296295,1.5840256214141846,2.809000015258789,271.406,24.044,788.331,101546.762,2.597,299.704
2022-01-20 01:00:00,51.0,39.0,1.1,0.004,0.045,0.011,0.6671218872070312,0.5072870850563049,0.3591913878917694,0.2470753788948059,2.7049999237060547,267.57,54.881,170.368,101800.75,1.377,11.987
2022-01-20 02:00:00,43.0,33.0,1.0,0.003,0.038,0.016,0.6807751655578613,0.4712854623794555,0.3188288509845733,0.2454634308815002,1.871999979019165,270.267,45.225,374.955,101817.696,1.558,11.93
2022-01-20 03:00:00,33.0,28.0,0.6,0.004,0.03,0.021,0.6517686247825623,0.4513160288333893,0.3053926229476928,0.0234590768814086,1.5700000524520874,271.987,37.534,565.745,101799.931,1.417,3.844
2022-01-20 04:00:00,37.0,31.0,0.7,0.004,0.044,0.013,0.2632964551448822,0.2131371945142746,0.190214455127716,1.816616654396057,1.6230000257492063,273.007,32.513,778.194,101722.436,1.421,332.136
2022-01-20 05:00:00,57.0,47.0,0.6,0.004,0.043,0.012,0.4496793746948242,0.311231791973114,0.2105042785406112,0.7613069415092468,1.812999963760376,273.561,29.942,941.136,101722.03,1.825,307.498
2022-01-20 06:00:00,41.0,34.0,0.5,0.004,0.032,0.019,0.4141339063644409,0.3149116337299347,0.2229773998260498,1.086578607559204,1.914000034332276,273.601,29.71,929.604,101725.622,2.243,300.097
2022-01-21 01:00:00,42.0,31.0,0.7,0.004,0.047,0.01,0.2377161383628845,0.1807617396116256,0.1279907822608947,1.595000982284546,2.5190000534057617,269.678,51.798,125.477,102109.427,0.84,65.601
2022-01-21 02:00:00,42.0,32.0,0.6,0.004,0.042,0.013,0.2875936627388,0.1990490853786468,0.1346284747123718,1.1901057958602903,2.0480000972747803,272.6,38.728,376.547,102090.42,0.918,86.502
2022-01-21 03:00:00,38.0,28.0,0.6,0.004,0.038,0.017,0.3511816263198852,0.2430595606565475,0.1643953472375869,0.0454861521720886,2.0390000343322754,274.3,32.411,591.209,102064.138,0.968,125.331
2022-01-21 04:00:00,35.0,24.0,0.7,0.004,0.033,0.021,0.1502364575862884,0.1216155216097831,0.1085358411073684,1.9942220449447632,2.25,275.364,29.352,718.564,101999.805,0.896,163.932
