idx,lat,lon,type,PM25mean,PM25mean_overlap,PM25_yhat_mean_overlap
336161,35.3032,126.7854,city,16.878177309361437,17.816901408450704,18.027488262910797
336221,34.6857,127.5975,city,14.002935115218884,15.640487804878049,15.65988780487805
336222,34.8819,127.5788,city,14.50692225772098,18.600820933812212,18.795325808106725
336223,34.825,127.7318,city,15.03102178390862,22.208854166666665,22.32159375
336352,34.9399,127.6977,city,14.706765111951498,16.76392823418319,16.989693106704436
336353,34.9419,127.7571,city,13.132022126613398,15.976377952755906,16.248267716535434
336355,34.9808,127.5823,city,14.6241932509681,14.53425925925926,14.651893518518518
336361,34.5652,126.5992,city,14.22330658105939,16.45289256198347,16.602539944903583
336441,34.7574,126.4527,city,19.56039732749956,22.307022318998367,22.485982580293957
336442,34.8075,126.7006,city,15.102486856872822,17.058079355951698,17.270385278895915
336452,35.0653,126.9859,city,13.677903078329775,13.264837625979844,13.459585666293393
336461,35.278,126.512,city,20.861469398077897,21.93621507643648,22.151887190300474
336471,34.675,126.9067,city,15.36039833822092,15.875555555555556,16.089120987654322
336481,34.4793,126.2688,city,12.181135790315636,13.591252699784016,13.751879049676026
336491,34.3344,126.8286,city,12.241160645657189,14.556962025316455,14.608870886075948
336501,35.0621,126.5228,city,14.577008194269991,16.28488982161595,16.402030430220357
336511,34.6063,127.2807,city,13.691192660550458,14.742309631870903,14.89145234493192
336521,34.7555,126.1261,city,13.14621067683508,13.826511912034208,13.846102626756261
336531,34.9905,126.4765,city,16.042190092438968,17.46382092660073,17.62540864133264
336541,34.6446,126.7707,city,14.219998687750149,15.556636155606407,15.72238558352403
336551,35.2833,127.2899,city,14.781843083545294,14.500819224467504,14.622637902785364
336561,35.2157,127.461,city,11.552955295529554,12.688646504709965,12.814938026772435
336571,34.8415,127.347,city,12.475878936105168,13.63138686131387,13.813759124087591
336572,34.7649,127.0782,city,15.129190715952353,17.384890250127615,17.543634507401734
339111,33.5001,126.5324,city,14.640620286007362,15.493315508021391,15.698977272727271
339112,33.4886,126.5001,city,15.450149991176987,16.703754266211604,16.854361774744028
339113,33.5379,126.6424,city,15.056475813227705,15.848151062155782,15.933910306845004
339114,33.4094,126.2681,city,14.977347833924172,15.570044052863436,15.736079295154186
339121,33.2465,126.5653,city,12.172260337474505,12.63906390639064,12.765220522052205
339122,33.4602,126.9101,city,14.493774930496796,15.38711776187378,15.442413793103446
339123,33.2843,126.7149,city,12.273259321829372,13.776545166402535,13.918993660855785
339131,33.2279,126.2475,city,14.104679064187165,14.726298433635614,14.758647980214345
422114,35.8743,128.5841,city,17.606271777003485,19.554078826764435,19.67994500458295
422115,35.8305,128.6316,city,15.502628811777075,17.8845818815331,18.06384581881533
422121,35.8691,128.711,city,18.03304235749019,19.076785714285716,19.200160714285715
422132,35.8696,128.5453,city,18.175988766674468,20.348607367475292,20.541221922731353
422141,35.8455,128.5711,city,17.277385055792486,19.100314889788574,19.18651372019793
422154,35.8898,128.6331,city,16.161669984775735,18.95229097779877,19.08695323571091
422155,35.923,128.5507,city,14.81753347238108,16.352354570637118,16.460598337950138
422158,35.8933,128.6021,city,16.120035046728972,18.783947736817545,18.910741950536632
422161,35.8653,128.64,city,16.614448669201522,19.019056261343014,19.230830308529946
422171,35.8379,128.4887,city,17.27526132404181,18.297243107769425,18.514761904761908
422201,35.7,128.46,city,15.87583250906693,17.68864864864865,17.830216216216215
422203,35.8376,128.6976,city,16.687323612417686,18.69314236111111,18.874227430555557
422204,35.8167,128.5287,city,18.3617108659939,19.95381801554641,20.085614997713765
422205,35.8649,128.4572,city,16.961441485763483,17.755777072949705,17.907557770729497
422206,35.8344,128.5411,city,18.891599716446123,20.052126200274348,20.26081390032007
422207,35.859,128.5519,city,18.671092653252224,19.552393857271905,19.79619241192412
422208,35.8876,128.5844,city,17.97780244173141,20.128671328671327,20.337254079254077
422209,35.7973,128.505,city,15.979983612314175,18.83865168539326,19.047779775280897
437112,35.9802,129.3748,city,16.97228595580244,17.578180212014136,17.688193462897523
437113,36.0707,129.3803,city,14.26322471434617,14.46911196911197,14.660173745173743
437114,36.0188,129.3658,city,15.968925717667949,17.2322340919647,17.36762192289828
437115,35.9684,129.36,city,15.30637386181039,16.417029511369133,16.565244315432995
437116,35.9631,129.3768,city,19.115942028985508,19.331954022988505,19.557719540229886
437117,36.0301,129.3756,city,18.09088153267855,20.140904311251315,20.274069400630914
437118,35.9668,129.4087,city,17.31003002267018,19.26808905380334,19.352305194805194
437119,35.9974,129.4054,city,20.42289481570273,22.244836272040303,22.420962216624684
437120,35.9963,129.3522,city,18.80930794802055,19.815592903828197,20.02698412698413
437121,35.99,129.3977,city,21.712815896083853,21.441350710900473,21.580983412322272
437122,35.8507,129.2076,city,17.821844334735175,17.911403907314856,18.016006360745116
437123,35.8351,129.287,city,14.169232598228616,15.402471315092674,15.533508384819068
437124,35.9907,129.227,city,17.387499264316403,19.151813471502592,19.40063212435233
437125,35.7157,129.3236,city,17.412714193812505,18.910250569476084,19.055804100227792
437131,36.1206,128.1161,city,17.96589047507606,17.891014234875446,17.957255338078294
437132,36.1441,128.1372,city,18.75794740374641,18.672358591248667,18.87974386339381
437133,36.1215,128.1839,city,16.136898462304675,16.525345622119815,16.692824884792625
437141,36.5683,128.728,city,16.553284584032607,18.225460780111444,18.422751821688813
437151,36.1019,128.3858,city,21.535196195005945,22.708959088555154,22.85525634386328
437152,36.1308,128.3258,city,20.243910297718777,22.031562335612836,22.09546554445029
437153,36.1108,128.3386,city,20.46647143198661,22.985955056179776,23.120889513108615
437154,36.1372,128.4394,city,16.65600236546422,19.18009708737864,19.31966019417476
437156,36.1061,128.4188,city,20.078825347758887,19.75414364640884,19.89617403314917
437161,36.8212,128.6132,city,20.92735294117647,22.709066901408452,22.82106954225352
437162,36.8287,128.6262,city,24.17341343910406,25.466551575312906,25.54163141993958
437171,35.825,128.7433,city,17.49861675201601,19.72661870503597,19.932742805755396
437172,35.9126,128.8145,city,18.73816155988857,21.379873073436084,21.594542157751587
437181,36.4289,128.1578,city,21.12556146776312,20.924050632911392,21.092039381153306
437191,35.9907,128.4185,city,20.783552451383184,21.595827268316352,21.78683163512858
437201,36.4201,129.3638,city,13.162326287516056,14.96229379418696,15.066174391201887
437203,36.5375,129.4072,city,14.593915729354858,15.34793388429752,15.425061983471078
437211,36.5868,128.1862,city,16.171387366599365,16.722692462716648,16.86390971382507
437221,35.9175,128.2901,city,18.955646113867235,20.091652323580035,20.210395869191046
437402,35.9729,128.9378,city,18.87139935728893,19.586404586404587,19.70231367731368
437412,36.3527,128.697,city,15.292794886693782,16.523372287145243,16.613071786310517
437421,36.9972,129.4029,city,14.169038730751284,13.35752688172043,13.557043010752688
437431,37.0486,129.0653,city,13.464003256571296,14.541356492969395,14.675922249793219
437432,36.8927,128.7316,city,13.277177269919704,11.142541436464088,11.141591160220994
437542,37.4841,130.9056,city,12.041602248770204,13.534860557768924,13.49231075697211
437551,35.7262,128.2817,city,16.861120964881163,17.376554174067497,17.5314431616341
437561,36.2379,128.5746,city,13.818129330254042,15.021045485403938,15.139864222674817
437571,36.6667,129.1124,city,14.31149059334298,13.626287597857438,13.72645241038319
437581,36.5768,128.4732,city,17.697916666666668,18.23725411481333,18.43872340425532
437591,35.6498,128.7063,city,17.69385210944164,18.314856883234892,18.562621535665606
525111,36.3728,127.4172,city,18.81031329281964,21.986506746626688,22.100899550224888
525112,36.4469,127.4047,city,19.465673043070066,20.834268230494647,20.911682814890362
525121,36.3161,127.4378,city,16.430781175346393,16.67447306791569,16.793316159250587
525141,36.3724,127.3739,city,18.047793249940995,18.91947926711668,19.026803278688522
525142,36.3682,127.3185,city,18.2465499246202,19.3218009478673,19.41951184834123
525143,36.3352,127.3345,city,16.3857930549038,17.026429601153293,17.19600192215281
525144,36.4252,127.3959,city,18.515676615473776,20.703553299492384,20.91525888324873
525161,36.3444,127.4372,city,17.525772580837607,19.43063872255489,19.545474051896207
525162,36.3025,127.4601,city,16.54697092551836,18.026532479414456,18.16364592863678
525171,36.3045,127.3667,city,16.620440156768165,16.113886113886114,16.221733266733263
525172,36.3544,127.3835,city,16.75903971547125,18.13156626506024,18.23471807228916
533112,36.6447,127.4368,city,20.50147808038241,21.45186136071887,21.54195763799743
533113,36.6661,127.4749,city,23.35204081632653,25.22641509433962,25.39035966981132
533114,36.6358,127.5036,city,18.880940988835725,20.73541167066347,20.907402078337334
533115,36.6088,127.5013,city,22.48241327300151,24.733007069059273,24.95531810766721
534111,36.8143,127.1521,city,20.949522342064714,22.92184265010352,23.04383022774327
534112,36.8251,127.1106,city,20.59196528555432,21.654645476772615,21.961491442542787
