,PM10,PM25,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd,tp
2022-10-26 02:00:00,27.0,9.0,0.1010788008570671,0.0768613293766975,0.0544226951897144,1.7752773761749268,1.825000047683716,286.49,50.506,687.82,100803.12,1.483,167.932,0.0
2022-10-26 05:00:00,16.0,17.0,0.289875328540802,0.2055991441011428,0.1421683877706527,0.8127589225769043,1.6230000257492063,288.44,44.837,990.71,100588.96,1.263,229.497,0.0
2022-10-27 00:00:00,48.0,27.0,0.7272260189056396,0.5535511374473572,0.3922909498214721,0.3722412586212158,1.5269999504089355,283.2,78.116,105.04,100527.56,0.815,318.483,0.0
2022-10-27 01:00:00,36.0,19.0,0.3736434876918793,0.2841223180294037,0.2011765986680984,0.8492851257324219,1.4850000143051147,285.54,69.282,311.11,100519.97,1.536,317.902,0.0
2022-10-27 02:00:00,24.0,14.0,0.3662399053573608,0.2784925103187561,0.1971903592348098,0.8259895443916321,1.4010000228881836,287.21,67.616,541.74,100500.74,2.107,315.385,0.0
2022-10-27 03:00:00,27.0,15.0,0.5982776880264282,0.4549368321895599,0.3221241235733032,0.4742228984832763,1.5399999618530271,288.52,64.542,803.48,100444.7,2.752,310.579,0.0
2022-10-27 04:00:00,18.0,16.0,0.4502462446689605,0.342371791601181,0.2424209415912628,0.5839641690254211,1.3179999589920044,289.42,60.687,970.85,100372.76,3.051,302.961,0.0
2022-10-27 05:00:00,25.0,14.0,0.5118528008460999,0.3892180025577545,0.2755910456180572,0.3756086230278015,1.5709999799728394,289.81,58.364,1131.09,100328.0,3.095,296.068,0.0
2022-10-27 06:00:00,30.0,12.0,0.4532304108142853,0.3446712493896484,0.2440675199031829,1.1720716953277588,1.7599999904632568,289.86,57.163,1176.18,100296.93,2.977,293.982,0.0
2022-10-28 00:00:00,68.0,38.0,0.3289699554443359,0.250152051448822,0.1771235316991806,1.2718029022216797,2.441999912261963,284.19,84.518,154.55,100653.13,1.016,64.949,0.0
2022-10-28 01:00:00,57.0,31.0,0.2634516358375549,0.2003312706947326,0.1418472528457641,1.712230563163757,2.3469998836517334,286.66,73.923,576.06,100665.71,2.01,90.0,0.001
2022-10-28 02:00:00,14.0,16.0,0.2590380012989044,0.1969750672578811,0.1394708603620529,1.706200361251831,2.0160000324249268,288.21,63.821,1181.91,100645.0,2.236,109.326,0.007
2022-10-29 00:00:00,28.0,18.0,0.3739646077156067,0.2844702005386352,0.2014860659837722,1.1389110088348389,3.275000095367432,284.2,86.893,106.5,100718.05,1.039,66.15,0.0
2022-10-29 01:00:00,33.0,21.0,0.3438872098922729,0.261495292186737,0.1851552724838256,1.4118270874023438,3.069000005722046,286.24,76.954,261.74,100727.48,1.23,75.399,0.0
2022-10-29 02:00:00,12.0,13.0,0.3575344681739807,0.2718728482723236,0.1925031989812851,1.3392077684402466,2.765000104904175,287.66,70.697,433.05,100704.73,1.141,81.941,0.0
2022-10-29 06:00:00,17.0,15.0,0.889539897441864,0.6770902872085571,0.4798340201377868,0.1893336772918701,2.2960000038146973,290.07,49.807,1442.52,100470.78,0.396,45.0,0.0
2022-10-30 00:00:00,26.0,18.0,0.3336222469806671,0.253689706325531,0.1796284168958664,2.579663753509521,3.546999931335449,284.09,87.353,76.53,100581.93,1.094,71.896,0.0
2022-10-30 01:00:00,23.0,17.0,0.4125000834465027,0.313669204711914,0.222097709774971,1.3309834003448486,3.615999937057495,286.82,74.853,327.83,100565.1,1.511,88.103,0.0
2022-10-30 02:00:00,11.0,15.0,0.3776257038116455,0.2871504127979278,0.2033206820487976,1.6018811464309692,3.319999933242798,288.28,68.942,532.29,100537.91,1.599,102.645,0.0
2022-10-30 05:00:00,17.0,13.0,0.4849644601345062,0.3687718510627746,0.2611138820648193,0.5290427803993225,2.8299999237060547,290.55,53.907,1357.74,100377.38,1.096,128.333,0.0
2022-10-30 06:00:00,23.0,12.0,0.6437447667121887,0.4898422658443451,0.3470414876937866,0.7418724894523621,3.009000062942505,290.5,51.699,1461.1,100341.5,0.968,128.29,0.0
2022-10-31 00:00:00,29.0,13.0,0.3475391864776611,0.2642722725868225,0.1871215403079986,2.093259811401367,3.424000024795532,284.6,84.45,148.05,100478.18,0.895,117.997,0.0
2022-10-31 01:00:00,33.0,13.0,0.3933991193771362,0.2991446852684021,0.2118133902549743,1.0350261926651,3.328000068664551,286.89,71.8,455.29,100489.83,1.677,153.435,0.0
2022-10-31 02:00:00,13.0,6.0,0.3237373828887939,0.2461731433868408,0.1743062138557434,1.073868989944458,3.566999912261963,288.15,65.472,667.66,100430.65,2.15,167.645,0.014
2022-10-31 03:00:00,14.0,6.0,0.5236330032348633,0.3981757760047912,0.2819337546825409,0.3688267469406128,3.493000030517578,289.17,59.892,918.86,100372.39,2.324,183.207,0.0
2022-11-02 01:00:00,39.0,14.0,0.0731128603219986,0.0555957481265068,0.039365317672491,1.9985328912734983,3.233999967575073,282.71,54.534,225.54,100142.94,0.667,250.75,0.0
2022-11-02 05:00:00,32.0,18.0,0.1101666986942291,0.0784115642309188,0.0543805658817291,1.594549536705017,0.4819999933242798,287.12,34.692,681.44,99919.37,2.148,289.869,0.0
2022-11-02 06:00:00,16.0,5.0,0.0860411003232002,0.062564693391323,0.0441453456878662,1.9939618110656736,0.6639999747276306,287.14,34.217,729.87,99903.24,2.379,295.919,0.0
2022-11-04 01:00:00,25.0,11.0,0.0823517888784408,0.0626211315393447,0.0443397276103496,1.9150331020355225,2.575000047683716,274.82,42.682,491.75,100185.58,2.673,314.697,0.0
2022-11-04 02:00:00,20.0,14.0,0.0663291066884994,0.0504373200237751,0.0357128195464611,1.997442960739136,1.9259999990463257,276.51,39.246,600.92,100172.13,2.851,313.436,0.0
2022-11-04 03:00:00,21.0,12.0,0.0729260072112083,0.0504734143614769,0.0341380685567855,1.793141484260559,1.4249999523162842,278.02,36.254,734.32,100141.6,3.163,310.641,0.0
2022-11-04 04:00:00,22.0,11.0,0.1165229231119155,0.0816246643662452,0.055832702666521,1.543864607810974,1.1440000534057615,279.16,33.892,862.03,100092.43,3.461,309.254,0.0
2022-11-04 05:00:00,23.0,8.0,0.084640547633171,0.0646732002496719,0.0459760203957557,1.645358324050903,0.6970000267028809,279.81,32.131,950.01,100042.49,3.68,309.487,0.0
2022-11-04 06:00:00,23.0,10.0,0.0222343988716602,0.0156217282637953,0.0107139227911829,1.9487645626068115,0.6179999709129333,279.94,31.523,979.66,100054.01,3.697,311.711,0.0
2022-11-05 01:00:00,54.0,28.0,0.066820815205574,0.0508112199604511,0.0359775647521019,1.946517825126648,2.782999992370605,277.99,47.491,315.95,100489.63,0.977,277.052,0.0
2022-11-05 02:00:00,33.0,19.0,0.064491406083107,0.0490399077534675,0.0347233675420284,1.996902346611023,2.2960000038146973,279.72,43.954,497.71,100460.82,1.513,291.309,0.0
2022-11-05 03:00:00,29.0,15.0,0.0778695791959762,0.0538949556648731,0.0364522449672222,1.781253218650818,1.718999981880188,281.31,42.096,665.78,100416.64,2.039,292.793,0.0
2022-11-05 04:00:00,27.0,12.0,0.0996729657053947,0.0692296847701072,0.0469850227236747,1.7161294221878052,1.4290000200271606,282.51,41.116,799.57,100343.08,2.442,289.622,0.0
2022-11-05 05:00:00,24.0,11.0,0.0894247889518737,0.0679995045065879,0.0481479614973068,1.7217103242874146,1.125,283.22,41.634,920.17,100268.55,2.757,286.002,0.0
2022-11-05 06:00:00,26.0,13.0,0.0689303576946258,0.0524153336882591,0.0371133796870708,1.930336236953736,0.9010000228881836,283.45,44.556,982.25,100235.71,2.832,280.993,0.0
2022-11-06 01:00:00,43.0,27.0,0.1363509595394134,0.1036826074123382,0.0734138861298561,1.7122927904129028,2.6519999504089355,282.49,71.509,232.57,100450.83,0.767,195.124,0.0
2022-11-06 02:00:00,28.0,17.0,0.1407733708620071,0.1070455089211463,0.0757949948310852,1.7686556577682495,2.322000026702881,284.3,55.073,1103.09,100413.95,1.574,254.904,0.0
2022-11-06 03:00:00,23.0,15.0,0.169934332370758,0.1292197555303573,0.0914957970380783,1.5070542097091677,1.8559999465942385,285.2,48.982,1203.36,100371.7,2.19,268.954,0.0
2022-11-06 04:00:00,17.0,14.0,0.2454400360584259,0.1866350919008255,0.1321494728326797,1.1717474460601809,1.5720000267028809,285.71,46.828,1299.69,100297.94,2.42,269.526,0.0
2022-11-06 05:00:00,13.0,11.0,0.1887812167406082,0.1435511708259582,0.1016433089971542,1.3244693279266355,1.287999987602234,286.0,45.488,1343.29,100224.57,2.47,270.464,0.0
